,Street,DayOfWeek,City,Hour,Month,Temperature(F),Weather_Condition,Humidity(%),Visibility(mi),Precipitation(in),High_Risk_Prediction,High_Risk_Probability
2908949,I-5 N,Wednesday,Tacoma,18,2,45.1,Mostly Cloudy,87.0,10.0,0.007711515863689778,1,0.595
7524173,WA-167 S,Wednesday,Renton,8,6,71.1,Partly Cloudy,66.0,10.0,0.007711515863689778,1,0.5711428571428572
314045,17th Ave NW,Thursday,Issaquah,22,7,75.9,Clear,69.0,9.0,0.007711515863689778,1,0.77
6064776, State Route 2,Saturday,Gold Bar,12,10,46.0,Fair,63.0,10.0,0.0,1,0.6785
3533932,I-5 N,Wednesday,Seattle,10,10,48.9,Clear,86.0,10.0,0.007711515863689778,1,0.71
7040506,I-5 S,Monday,Seattle,6,6,54.0,Light Rain,80.0,8.0,0.0,1,0.57
7511004,I-405 S,Friday,Bellevue,10,7,73.9,Clear,48.0,10.0,0.007711515863689778,1,0.7516666666666666
2957601,I-405 N,Saturday,Renton,11,3,46.9,Mostly Cloudy,66.0,10.0,0.007711515863689778,1,0.9
514540,Tule Lake Rd S,Monday,Tacoma,21,9,61.0,Fair,58.0,10.0,0.0,1,0.605
3092231,I-5 N,Friday,Tacoma,2,12,38.1,Mostly Cloudy,100.0,10.0,0.007711515863689778,1,0.7133333333333334
2406052,W Seattle Brg W,Wednesday,Seattle,17,12,43.0,Light Rain,89.0,7.0,0.0,1,0.77
6592816,I-5 N,Wednesday,Seattle,22,9,61.0,Fair,87.0,10.0,0.0,1,0.575
5323764,I-5 S,Friday,Seattle,14,1,51.0,Cloudy,63.0,10.0,0.0,1,0.65
2613300,S 336th St,Thursday,Federal Way,18,8,68.0,Mostly Cloudy,59.0,10.0,0.007711515863689778,1,0.64
2110761,NE Park Dr,Thursday,Renton,12,5,66.0,Haze,68.0,6.0,0.0,1,0.875
5351171,I-5 N,Tuesday,Olympia,6,7,62.0,Fair,84.0,10.0,0.0,1,0.5623333333333334
2714532,NE Northgate Way,Wednesday,Seattle,17,7,84.0,Clear,33.0,10.0,0.007711515863689778,1,0.75
7283183,W Seattle Brg E,Tuesday,Seattle,9,10,52.0,Mostly Cloudy,63.0,10.0,0.0,1,0.72
311179,Orillia Rd S,Wednesday,Kent,10,10,55.9,Scattered Clouds,42.0,10.0,0.007711515863689778,1,0.95
7450515,E Portland Fwy S,Saturday,Vancouver,13,11,53.1,Partly Cloudy,64.0,10.0,0.007711515863689778,1,0.565
6467523,I-90 E,Thursday,Spokane,11,2,37.0,Partly Cloudy / Windy,70.0,10.0,0.0,1,0.63
2454517,I-405 N,Saturday,Bellevue,18,11,46.0,Clear,56.0,10.0,0.007711515863689778,1,0.87
3695875,I-5 S,Friday,Everett,14,7,67.0,Fair,59.0,10.0,0.0,1,0.6566666666666666
1802929,I-405 N,Monday,Renton,17,11,54.0,Mostly Cloudy,64.0,10.0,0.0,1,0.71
3517409,WA-900 N,Saturday,Renton,12,12,32.0,Overcast,73.0,7.0,0.007711515863689778,1,0.6325
436246,I-5 N,Saturday,Tacoma,20,4,46.4,Partly Cloudy,100.0,10.0,0.007711515863689778,1,0.96
308358,180th Ave SE,Monday,Enumclaw,23,1,32.0,Light Drizzle,100.0,5.0,0.007711515863689778,1,0.5871428571428572
3638291,I-5 N,Tuesday,Kent,11,7,62.1,Mostly Cloudy,62.0,10.0,0.007711515863689778,1,0.98
7442755,I-5 S,Friday,Tacoma,12,12,42.4,Light Rain,100.0,6.0,0.05,1,0.82
2185066,I-405 N,Monday,Renton,12,4,60.0,Fair,46.0,10.0,0.0,1,0.66
1518407,I-5 S,Friday,Seattle,3,3,40.0,Cloudy,73.0,10.0,0.0,1,0.86
3613057,I-90 W,Thursday,Mercer Island,15,5,66.9,Clear,49.0,10.0,0.007711515863689778,1,0.66
3708003,I-5 N,Tuesday,Seattle,14,3,52.0,Cloudy / Windy,63.0,10.0,0.0,1,0.524
2813366,I-5 N,Monday,Seattle,4,5,60.1,Clear,75.0,10.0,0.007711515863689778,1,0.8
1909061,I-5 N,Saturday,Seattle,4,8,62.0,Cloudy,72.0,10.0,0.0,1,0.85
1435953,Howell St,Thursday,Seattle,1,7,57.0,Cloudy,77.0,10.0,0.0,1,0.54
894800,I-5 S,Friday,Lakewood,19,9,66.0,Cloudy,64.0,10.0,0.0,1,0.85
7268594,I-5 S,Tuesday,Everett,5,12,42.0,Fair,76.0,10.0,0.0,1,0.59
3098604,S 56th St,Tuesday,Tacoma,12,12,37.9,Clear,100.0,10.0,0.007711515863689778,1,0.8566666666666666
7644822,I-90 E,Thursday,Spokane,14,8,93.0,Haze,20.0,4.0,0.007711515863689778,1,0.59
1440225,NE 45th St,Wednesday,Seattle,20,5,66.0,Fair,45.0,10.0,0.0,1,0.67
490523,I-5 S,Thursday,Lynnwood,5,6,52.0,Overcast,86.0,10.0,0.0,1,0.6906666666666667
3065328,NE 45th St,Thursday,Seattle,1,1,50.0,Overcast,89.0,10.0,0.02,1,0.6
3627043,I-90 W,Thursday,Seattle,15,6,64.0,Mostly Cloudy,65.0,10.0,0.007711515863689778,1,0.73
3186413,Pacific Hwy S,Monday,Kent,6,11,48.0,Heavy Rain,96.0,4.0,0.04,1,0.775
7305894,I-405 S,Friday,Renton,13,10,52.0,Haze,83.0,6.0,0.02,1,0.695
1329028,1st Ave NE,Tuesday,Shoreline,18,10,54.0,Mostly Cloudy,77.0,10.0,0.0,1,0.75
3032038,I-5 N,Tuesday,Lynnwood,21,1,37.0,Overcast,86.0,10.0,0.007711515863689778,1,0.76
1653151,I-5 S,Saturday,Tacoma,16,2,47.0,Mostly Cloudy,69.0,10.0,0.0,1,0.62
7512797,I-5 N,Wednesday,Tacoma,14,7,72.3,Scattered Clouds,68.0,10.0,0.0,1,0.728
7290826,I-90 E,Monday,Seattle,8,10,49.0,Mostly Cloudy,83.0,10.0,0.0,1,0.51
6932952,I-5 N,Monday,Seattle,22,5,55.0,Cloudy,86.0,10.0,0.0,1,0.73
2703494,Madison St,Thursday,Seattle,8,7,60.1,Overcast,69.0,10.0,0.007711515863689778,1,0.55
7704821, 16th Ave SW,Wednesday,Seattle,9,7,59.0,Cloudy,87.0,10.0,0.0,1,0.92
2315415,I-5 N,Tuesday,Tacoma,7,1,39.2,Light Rain,99.0,10.0,0.05,1,0.7060714285714286
939599,I-5 S,Tuesday,Seattle,2,8,67.0,Fair,57.0,10.0,0.0,1,0.6213816738816739
3535302,I-405 N,Wednesday,Seattle,12,10,54.0,Overcast,75.0,10.0,0.007711515863689778,1,0.77
3532210,I-5 S,Tuesday,Bellingham,15,10,60.1,Overcast,62.0,10.0,0.007711515863689778,1,0.8649999999999999
2850576,Sunset Hwy,Sunday,Cle Elum,23,4,24.1,Light Snow,91.0,3.0,0.01,1,0.92
3092259,I-405 S,Friday,Bellevue,16,12,46.9,Overcast,86.0,10.0,0.007711515863689778,1,0.8
958935,I-405 N,Sunday,Seattle,11,7,68.0,Fair,55.0,10.0,0.0,1,0.6451666666666667
1831752,I-5 N,Sunday,Seattle,10,11,51.0,Fair,77.0,10.0,0.0,1,0.83
4946224,I-5 N,Sunday,Seattle,0,1,41.0,Fog,100.0,2.0,0.0,1,0.617
810724,I-5 N,Sunday,Tacoma,10,11,59.0,Light Rain,97.0,5.0,0.01,1,0.77
7462806,I-5 S,Monday,Seattle,21,10,57.9,Overcast,93.0,10.0,0.01,1,0.6956666666666667
1908297,I-5 S,Tuesday,Tacoma,15,9,66.0,Mostly Cloudy,71.0,10.0,0.0,1,0.72
309841,I-405 N,Friday,Renton,19,11,52.0,Clear,37.0,10.0,0.007711515863689778,1,0.9666666666666667
3352253,Bellevue Way NE,Monday,Bellevue,13,8,73.9,Smoke,62.0,8.0,0.007711515863689778,1,0.58
763618,I-5 N,Saturday,Tacoma,7,12,48.0,Cloudy / Windy,81.0,10.0,0.0,1,0.69
2879070,NE 116th St,Monday,Kirkland,10,4,45.0,Overcast,86.0,10.0,0.0,1,0.7233333333333334
3158528,I-5 N,Sunday,Tacoma,8,11,36.1,Light Rain,100.0,8.0,0.02,1,0.8233333333333333
395473,I-5 S,Thursday,Tacoma,16,2,40.6,Scattered Clouds,92.0,10.0,0.007711515863689778,1,0.7366666666666667
313907,I-5 N,Tuesday,Kent,13,7,69.1,Scattered Clouds,68.0,10.0,0.007711515863689778,1,0.7925
514386,I-5 N,Tuesday,Federal Way,1,9,59.0,Fair,64.0,10.0,0.0,1,0.71
2454510,S 56th St,Saturday,Tacoma,16,11,50.0,Clear,66.0,10.0,0.007711515863689778,1,0.8875
1729141,I-405 N,Monday,Renton,8,10,58.0,Cloudy,58.0,10.0,0.0,1,0.5183333333333333
7600993,I-90 W,Tuesday,Bellevue,11,12,50.0,Light Rain,89.0,7.0,0.08,1,0.8325
3535426,I-5 N,Thursday,Kent,4,10,52.0,Overcast,93.0,10.0,0.12,1,0.84
7315583,I-5 S,Friday,Seattle,12,11,53.0,Fair,55.0,10.0,0.0,1,0.5738809523809523
1720457,I-405 N,Friday,Bothell,17,12,44.0,Light Rain,93.0,2.0,0.02,1,0.7733333333333334
3530034,I-5 S,Thursday,Seattle,19,9,62.1,Partly Cloudy,60.0,10.0,0.007711515863689778,1,0.77
2525907,NE 72nd Pl,Monday,Kirkland,15,10,53.1,Haze,83.0,4.0,0.007711515863689778,1,0.88
2617419,Canyon Rd E,Saturday,Tacoma,22,8,64.4,Clear,73.0,10.0,0.007711515863689778,1,0.58
3186454,State Highway 529,Monday,Marysville,16,11,46.9,Overcast,80.0,10.0,0.007711515863689778,1,0.78
4795833,I-405 S,Wednesday,Kirkland,10,6,55.0,Partly Cloudy,77.0,10.0,0.0,1,0.6316666666666666
7572213,I-5 N,Sunday,Everett,7,2,32.0,Light Snow,100.0,0.5,0.0,1,0.72
760227,I-405 N,Tuesday,Bellevue,18,12,38.0,Cloudy,93.0,10.0,0.0,1,0.65
2342885,I-5 N,Tuesday,Seattle,14,1,44.1,Light Rain,89.0,7.0,0.0,1,0.58
2894123,I-5 S,Monday,Mount Vernon,11,4,57.2,Clear,51.0,10.0,0.007711515863689778,1,0.82
3144714,I-5 S,Thursday,Seattle,11,12,48.0,Light Rain,80.0,10.0,0.01,1,0.6
2502516,I-405 N,Wednesday,Renton,16,10,63.0,Clear,58.0,10.0,0.007711515863689778,1,0.9166666666666667
3536204,I-5 S,Friday,Seattle,20,8,66.9,Clear,52.0,10.0,0.007711515863689778,1,0.69
2933048,I-405 N,Tuesday,Renton,7,3,66.9,Overcast,27.0,10.0,0.007711515863689778,1,0.5466666666666666
6965895,I-5 S,Thursday,Seattle,17,5,64.0,Fair,43.0,10.0,0.0,1,0.8133333333333332
2225824,I-5 S,Saturday,Tacoma,14,3,57.4,Partly Cloudy,70.0,10.0,0.007711515863689778,1,0.94
1587061,I-5 S,Thursday,Seattle,19,1,34.0,Partly Cloudy,85.0,10.0,0.0,1,0.6066666666666667
307615,I-405 N,Thursday,Bellevue,14,12,37.0,Overcast,62.0,10.0,0.007711515863689778,1,0.75
4571577,I-405 N,Friday,Bellevue,15,12,50.0,Mostly Cloudy,80.0,10.0,0.0,1,0.88
2558451,I-5 N,Thursday,Seattle,8,9,57.9,Clear,81.0,10.0,0.007711515863689778,1,0.86
335708,I-5 N,Friday,Everett,21,1,44.1,Clear,63.0,10.0,0.007711515863689778,1,0.82
490575,I-5 N,Thursday,Tacoma,22,6,57.9,Light Rain,100.0,5.0,0.04,1,0.84
2538777,I-5 N,Saturday,Lynnwood,19,10,51.1,Rain,89.0,3.0,0.11,1,0.62
2113811,I-5 N,Saturday,Tacoma,14,5,54.0,Light Rain,100.0,10.0,0.0,1,0.68
2172019,NE 124th St,Monday,Kirkland,14,4,51.0,Light Rain,77.0,9.0,0.02,1,0.79
2141632,I-5 S,Friday,Seattle,1,4,53.0,Light Rain,83.0,10.0,0.02,1,0.93
1948989,SE Everett Mall Way,Tuesday,Everett,12,7,71.0,Cloudy,59.0,10.0,0.0,1,0.81
7397874,I-5 N,Thursday,Lynnwood,5,2,33.1,Overcast,75.0,10.0,0.007711515863689778,1,0.805
1874639,I-5 N,Friday,Seattle,19,9,54.0,Cloudy,62.0,10.0,0.0,1,0.725
5603308,I-5 S,Friday,Seattle,13,4,58.0,Fair,51.0,10.0,0.0,1,0.7145
2902271,I-5 S,Thursday,Everett,5,4,52.0,Clear,66.0,10.0,0.007711515863689778,1,0.7832142857142855
3531627,I-405 N,Sunday,Bellevue,13,10,61.0,Scattered Clouds,62.0,10.0,0.007711515863689778,1,0.87
2858286,I-5 S,Thursday,Bellingham,18,4,48.0,Light Rain,100.0,6.0,0.07,1,0.935
7015560, NE North Shore Rd,Sunday,Belfair,1,6,52.0,Light Rain,94.0,10.0,0.0,1,0.95
7418951,I-405 N,Wednesday,Renton,7,1,48.9,Overcast,93.0,2.5,0.007711515863689778,1,0.91
4827093,I-405 N,Tuesday,Lynnwood,16,6,59.0,Mostly Cloudy,58.0,10.0,0.0,1,0.613
5570537, State Route 2,Saturday,Gold Bar,12,10,46.0,Fair,63.0,10.0,0.0,1,0.6785
616875,164th St SW,Wednesday,Lynnwood,18,5,54.0,Fair,53.0,10.0,0.0,1,0.89
2813420,State Highway 18,Monday,Snoqualmie,22,5,71.1,Clear,45.0,10.0,0.007711515863689778,1,0.585
2652850,NE 130th St,Wednesday,Seattle,15,8,88.0,Haze,21.0,4.0,0.007711515863689778,1,0.55
2534412,I-5 S,Thursday,Seattle,11,10,55.0,Light Rain,89.0,2.0,0.0,1,0.5933333333333333
2709775,I-405 N,Monday,Lynnwood,16,7,84.0,Clear,33.0,10.0,0.007711515863689778,1,0.81
7629777,I-5 N,Tuesday,Tacoma,5,9,59.7,Clear,100.0,10.0,0.007711515863689778,1,0.8616666666666667
2975044,I-405 N,Thursday,Renton,15,2,46.9,Light Rain,83.0,10.0,0.0,1,0.605
3599866,I-5 S,Wednesday,Seattle,14,4,48.0,Light Rain,86.0,3.0,0.0,1,0.608
1691202,S Kent des Moines Rd,Saturday,Kent,2,12,47.0,Light Rain,90.0,5.0,0.06,1,0.72
4781152, Oyster Creek Ln,Sunday,Bow,15,4,55.0,Fair,38.0,10.0,0.0,1,0.52
490264,I-5 N,Monday,Everett,19,6,64.9,Clear,52.0,10.0,0.007711515863689778,1,0.69
7624251,I-5 N,Thursday,Seattle,14,10,53.6,Overcast,94.0,9.03798932831721,0.01,1,0.57
3521436,I-5 N,Friday,Everett,19,1,32.0,Clear,79.0,10.0,0.007711515863689778,1,0.72
2515503,WA-520 W,Wednesday,Bellevue,19,10,55.9,Clear,67.0,10.0,0.007711515863689778,1,0.5633333333333332
7391617,I-90 E,Tuesday,Issaquah,8,2,21.9,Clear,85.0,9.0,0.007711515863689778,1,0.825
3554262, Astoria-Megler Brg,Tuesday,Chinook,5,1,39.0,Overcast,93.0,9.0,0.007711515863689778,1,0.75
1112408,I-405 S,Friday,Bellevue,12,3,54.0,Fair,47.0,10.0,0.0,1,0.5233333333333333
7259815,I-5 S,Wednesday,Lynnwood,0,12,44.0,Fog,96.0,0.5,0.0,1,0.83
4131267, State Route 92,Friday,Lake Stevens,22,7,59.0,Fair,78.0,10.0,0.0,1,0.5491904761904762
7394215,I-405 S,Saturday,Bellevue,0,2,30.9,Light Snow,89.0,0.8,0.06,1,0.8166666666666665
1455058,93rd Ave SW,Saturday,Olympia,12,5,80.0,Fair,25.0,10.0,0.0,1,0.82
3011108,WA-14 W,Monday,Vancouver,1,2,32.0,Overcast,82.0,10.0,0.007711515863689778,1,0.53
1115292,I-5 S,Wednesday,Seattle,20,3,45.0,Fair,68.0,10.0,0.0,1,0.72
851396,146th St S,Thursday,Tacoma,14,10,57.0,Light Rain,77.0,10.0,0.0,1,0.77
3132850,S 56th St,Wednesday,Tacoma,14,12,42.6,Mostly Cloudy,62.0,10.0,0.007711515863689778,1,0.8
435778,I-90 E,Tuesday,Ellensburg,10,4,46.0,Mostly Cloudy,54.0,10.0,0.007711515863689778,1,0.772
4929698,I-5 N,Saturday,Bellingham,12,8,67.0,Cloudy,70.0,10.0,0.0,1,0.6815000000000001
4582985, State Route 153,Sunday,Pateros,18,8,90.0,Fair,16.0,10.0,0.0,1,0.6043333333333334
752905,I-90 E,Tuesday,Spokane,7,12,12.0,Cloudy,80.0,10.0,0.0,1,0.53
3897279,I-405 N,Saturday,Bellevue,13,5,62.0,Mostly Cloudy,70.0,10.0,0.0,1,0.68
7307283, Ellis St,Saturday,Bellingham,8,10,45.0,Fair,81.0,10.0,0.0,1,0.7958333333333334
6460620,I-5 S,Wednesday,Tacoma,1,1,48.0,Cloudy,87.0,10.0,0.0,1,0.62
5361375,NE Quail Trl,Sunday,Belfair,12,5,54.0,Light Rain,86.0,10.0,0.01,1,0.67
7711318,I-5 S,Thursday,Olympia,14,7,69.0,Partly Cloudy,66.0,10.0,0.0,1,0.785
3640559,Bothell Everett Hwy,Saturday,Bothell,22,7,62.1,Clear,80.0,10.0,0.007711515863689778,1,0.5525
3303729,I-5 N,Sunday,Vancouver,15,9,61.0,Overcast,81.0,10.0,0.0,1,0.84
2942268,54th Ave E,Saturday,Tacoma,18,3,50.5,Overcast,68.0,10.0,0.007711515863689778,1,0.85
3154738,I-5 S,Thursday,Seattle,20,11,41.0,Light Rain,89.0,10.0,0.007711515863689778,1,0.62
7469208,I-5 S,Friday,Seattle,19,10,55.0,Clear,74.0,10.0,0.007711515863689778,1,0.83
841797,I-5 N,Monday,Seattle,15,10,54.0,Cloudy,72.0,10.0,0.01,1,0.7942857142857143
309367,I-5 N,Saturday,Seattle,11,11,57.9,Rain,93.0,6.0,0.03,1,0.8
310129,I-5 S,Monday,Seattle,2,11,42.1,Clear,92.0,10.0,0.007711515863689778,1,0.65
2113815,I-405 N,Saturday,Bellevue,15,5,54.0,Light Rain,88.0,3.0,0.12,1,0.83
931584,State Highway 18,Wednesday,Snoqualmie,0,8,70.0,Haze,61.0,6.0,0.0,1,0.695
1889666,State Route 2,Sunday,Everett,1,9,60.0,Cloudy,93.0,10.0,0.0,1,0.57
5955754,I-90 W,Thursday,Snoqualmie,13,7,66.0,Mostly Cloudy,59.0,10.0,0.0,1,0.67
4734340,I-5 S,Monday,Seattle,12,1,39.0,Partly Cloudy,86.0,10.0,0.0,1,0.6116666666666667
7580229,I-5 S,Monday,Seattle,17,1,46.0,Overcast,96.0,10.0,0.007711515863689778,1,0.6125
7651697, Yelm Hwy SE,Saturday,Olympia,4,8,48.9,Clear,86.0,10.0,0.007711515863689778,1,0.76
511946,I-405 N,Monday,Lynnwood,11,7,69.1,Clear,61.0,10.0,0.007711515863689778,1,0.93
7387700,I-405 N,Saturday,Renton,10,3,46.0,Clear,51.0,10.0,0.007711515863689778,1,0.84
3296242,I-405 N,Wednesday,Bothell,17,9,64.9,Clear,54.0,10.0,0.007711515863689778,1,0.8947499999999999
7525840,I-5 S,Sunday,Burlington,22,6,60.8,Overcast,82.0,10.0,0.007711515863689778,1,0.84
3643829,I-405 N,Friday,Kirkland,17,3,42.0,Cloudy,79.0,10.0,0.03,1,0.63
5419762,I-5 S,Wednesday,Seattle,6,7,56.0,Mostly Cloudy,80.0,10.0,0.0,1,0.84
1703059,I-5 N,Thursday,Olympia,15,12,46.0,Mostly Cloudy,100.0,10.0,0.02,1,0.65
1501268,I-5 S,Thursday,Lakewood,2,6,49.0,Fair,93.0,10.0,0.0,1,0.8983333333333334
3288122,I-5 N,Sunday,Seattle,0,9,62.1,Overcast,86.0,10.0,0.007711515863689778,1,0.8
311012,I-5 N,Tuesday,Seattle,17,10,57.9,Mostly Cloudy,84.0,10.0,0.0,1,0.72
2891467,I-5 S,Sunday,Tacoma,1,4,46.0,Clear,71.0,10.0,0.007711515863689778,1,0.84
7032192,I-5 S,Thursday,Seattle,15,6,68.0,Mostly Cloudy,63.0,10.0,0.0,1,0.65
3372018,Southcenter Blvd,Wednesday,Seattle,7,8,59.0,Partly Cloudy,75.0,10.0,0.007711515863689778,1,0.645
2664114,41st St,Tuesday,Everett,15,8,75.9,Clear,37.0,10.0,0.007711515863689778,1,0.81
395631,I-405 N,Tuesday,Bellevue,19,2,45.0,Overcast,68.0,10.0,0.007711515863689778,1,0.93
581364,I-405 N,Tuesday,Bellevue,19,6,76.0,Fair,43.0,10.0,0.0,1,0.628
3628674, State Route 9,Thursday,Mount Vernon,16,6,73.9,Clear,43.0,10.0,0.007711515863689778,1,0.78
1720425,I-5 N,Thursday,Seattle,21,12,54.0,Light Rain,90.0,5.0,0.02,1,0.5766666666666667
2547742,I-5 N,Friday,Seattle,3,8,63.0,Overcast,78.0,10.0,0.007711515863689778,1,0.7366666666666666
307499,I-5 N,Monday,Seattle,18,12,39.9,Overcast,89.0,10.0,0.007711515863689778,1,0.58
2408004,I-5 S,Thursday,Seattle,1,12,41.0,Overcast,89.0,10.0,0.007711515863689778,1,0.915
3173273,I-405 S,Monday,Kirkland,7,11,48.0,Mostly Cloudy,74.0,10.0,0.007711515863689778,1,0.8166666666666668
1889678,Boren Ave,Sunday,Seattle,12,9,69.0,Cloudy,65.0,10.0,0.0,1,0.89
453493,S 320th St,Tuesday,Federal Way,8,5,55.0,Partly Cloudy,72.0,10.0,0.007711515863689778,1,0.84
2042910,I-90 W,Friday,Seattle,16,6,68.0,Mostly Cloudy,50.0,10.0,0.0,1,0.86
7428172,I-5 N,Thursday,Seattle,7,12,27.0,Clear,81.0,10.0,0.007711515863689778,1,0.8
2818776,I-5 S,Wednesday,Auburn,7,5,54.0,Overcast,80.0,10.0,0.007711515863689778,1,0.6
3359939,I-90 E,Thursday,Mercer Island,8,8,64.0,Haze,87.0,6.0,0.007711515863689778,1,0.8640000000000001
6301004,I-5 S,Sunday,Castle Rock,15,2,47.0,Cloudy,90.0,10.0,0.0,1,0.5333333333333333
1889108,I-5 S,Saturday,Seattle,21,9,62.0,Light Rain,86.0,6.0,0.08,1,0.855
3199512,I-405 S,Monday,Kirkland,8,11,44.1,Mostly Cloudy,89.0,10.0,0.007711515863689778,1,0.72
491114,I-5 S,Monday,Chehalis,16,7,71.6,Clear,53.0,10.0,0.007711515863689778,1,0.865
2534415,I-5 S,Thursday,Seattle,12,10,55.9,Light Rain,90.0,5.0,0.0,1,0.555
4864377,I-5 N,Saturday,Seattle,13,4,55.0,Partly Cloudy,55.0,10.0,0.0,1,0.5233333333333333
1447408,S King St,Wednesday,Seattle,14,6,64.0,Mostly Cloudy,46.0,10.0,0.0,1,0.83
2879074,NE Northgate Way,Monday,Seattle,11,4,44.1,Light Rain,93.0,5.0,0.06,1,0.58
7353618, Mountain Hwy E,Saturday,Spanaway,21,8,67.0,Partly Cloudy,91.0,10.0,0.0,1,0.76
3232676,14th Ave SW,Thursday,Federal Way,8,10,46.0,Light Rain,93.0,10.0,0.0,1,0.5333333333333333
3610430,I-5 S,Tuesday,Dupont,17,5,69.6,Clear,35.0,7.0,0.007711515863689778,1,0.8866666666666666
2545116,I-90 E,Tuesday,Sprague,5,10,37.4,Fog,93.0,0.2,0.007711515863689778,1,0.53
2394988,Homested Valley Rd,Tuesday,North Bend,7,12,50.0,Overcast,100.0,10.0,0.06,1,0.97
2271320,I-5 S,Tuesday,Lynnwood,6,2,30.9,Light Snow,92.0,2.5,0.02,1,0.665
3379110,204th St NE,Sunday,Arlington,2,8,48.9,Clear,90.0,10.0,0.007711515863689778,1,0.76
996991,I-5 N,Sunday,Seattle,2,6,59.0,Light Rain,90.0,9.0,0.04,1,0.795
2701102,I-5 S,Wednesday,Seattle,18,7,77.0,Partly Cloudy,48.0,10.0,0.007711515863689778,1,0.87
7587526,I-5 N,Tuesday,Everett,15,1,41.0,Light Rain,96.0,4.0,0.06,1,0.69
596455,S 30th St,Thursday,Tacoma,1,6,58.0,Cloudy,94.0,10.0,0.0,1,0.55
2608216,I-90 W,Tuesday,Cheney,2,7,75.9,Mostly Cloudy,33.0,10.0,0.007711515863689778,1,0.81
4686440,I-5 N,Thursday,Tacoma,5,12,33.0,Wintry Mix,98.0,5.0,0.02,1,0.6041666666666666
5007580,I-5 N,Friday,Marysville,7,12,27.0,Light Snow,92.0,9.0,0.0,1,0.52
1444898,I-90 E,Monday,Veradale,7,6,52.0,Partly Cloudy,83.0,10.0,0.0,1,0.5033333333333334
4345640,I-5 N,Wednesday,Milton,6,7,53.42461092745979,,73.0435668434273,9.03798932831721,0.007711515863689778,1,0.6175
395531,NE 130th St,Monday,Seattle,1,2,37.0,Overcast,100.0,10.0,0.007711515863689778,1,0.52
7468405,I-5 S,Wednesday,Custer,9,10,50.0,Overcast,82.0,10.0,0.007711515863689778,1,0.67
309928,I-5 N,Tuesday,Auburn,9,11,48.9,Mostly Cloudy,61.0,10.0,0.007711515863689778,1,0.65
7627806,I-5 S,Monday,Seattle,8,10,43.0,Clear,100.0,7.0,0.007711515863689778,1,0.7675
1054883,I-5 N,Friday,Marysville,11,4,55.0,Cloudy,88.0,10.0,0.0,1,0.655
307694,I-5 S,Monday,Everett,4,12,37.0,Light Rain,93.0,9.0,0.01,1,0.7466666666666667
2101154,I-5 N,Sunday,Marysville,18,5,67.0,Partly Cloudy,52.0,10.0,0.0,1,0.95
309368,I-5 N,Saturday,Kent,11,11,55.9,Rain,90.0,4.0,0.05,1,0.8
310627,WA-16 E,Wednesday,Tacoma,18,9,65.3,Clear,49.0,10.0,0.007711515863689778,1,0.57
7683135,I-5 S,Sunday,Bellingham,11,6,64.0,Fair,67.0,10.0,0.0,1,0.825
1892070,I-405 S,Monday,Bellevue,3,9,62.0,Cloudy,86.0,10.0,0.0,1,0.87
3069691,I-5 S,Monday,Seattle,12,1,48.0,Mostly Cloudy,74.0,10.0,0.007711515863689778,1,0.57
3613446,W Highway 12,Tuesday,Touchet,8,5,75.9,Clear,35.0,10.0,0.007711515863689778,1,0.79
2120185,I-90 W,Wednesday,Mercer Island,15,5,69.0,Mostly Cloudy,53.0,10.0,0.0,1,0.63
2591155,I-90 E,Friday,Issaquah,22,9,63.0,Light Rain,81.0,3.0,0.02,1,0.775
5327693,I-5 N,Friday,Lacey,13,11,48.0,Fair,30.0,10.0,0.0,1,0.93
7582288,I-90 E,Thursday,North Bend,10,1,46.0,Light Rain,89.0,6.0,0.11,1,0.7733333333333334
2523416,Rainier Pl S,Saturday,Seattle,23,10,46.4,Mist,93.0,2.0,0.007711515863689778,1,0.585
395908,I-5 S,Tuesday,Tacoma,21,3,41.5,Overcast,100.0,10.0,0.007711515863689778,1,0.89
1068322,I-90 W,Monday,Mercer Island,2,4,52.0,Fair,50.0,10.0,0.0,1,0.557
1909074,WA-512 W,Saturday,Lakewood,14,8,73.0,Mostly Cloudy,63.0,10.0,0.0,1,0.72
1415956,I-5 N,Sunday,Olympia,4,8,59.0,Fair,98.0,10.0,0.0,1,0.78
7704834,I-5 N,Wednesday,Auburn,14,7,66.0,Cloudy,63.0,10.0,0.0,1,0.6735714285714286
335833,I-5 S,Wednesday,Seattle,12,2,42.1,Scattered Clouds,35.0,10.0,0.007711515863689778,1,0.78
2967455,I-5 N,Thursday,Tacoma,11,3,49.6,Mostly Cloudy,77.0,10.0,0.007711515863689778,1,0.765
933565,I-5 S,Friday,Seattle,15,8,75.0,Partly Cloudy,48.0,10.0,0.0,1,0.7414999999999999
731002,Nulle Rd,Thursday,Bellingham,12,1,51.0,Mostly Cloudy,80.0,10.0,0.0,1,0.5399999999999999
3362648,NW Chamber of Commerce Way,Friday,Chehalis,4,8,57.2,Overcast,100.0,10.0,0.007711515863689778,1,0.585
2150591,I-5 S,Wednesday,Everett,5,4,45.0,Cloudy,82.0,10.0,0.0,1,0.55
1376613,I-5 N,Tuesday,Lakewood,15,7,78.0,Fair,32.0,10.0,0.0,1,0.86
